# Eigenvalor 0 =     0.4999
 # X      Psi(x)     |Psi(x)|^2
  -5.0000000000000000        0.0000000000000000        0.0000000000000000     
  -4.9989999999525025        2.7397966756183506E-008   7.5064858237293654E-016
  -4.9979999999050051        5.4796590795323120E-008   3.0026663627900904E-015
  -4.9969999998575076        8.2196528868341715E-008   6.7562693580041328E-015
  -4.9959999998100102        1.0959843721001607E-007   1.2011817438877836E-014
  -4.9949999997625127        1.3700297155482537E-007   1.8769814214852292E-014
  -4.9939999997150153        1.6441078715276162E-007   2.7030906932190687E-014
  -4.9929999996675178        1.9182253878510211E-007   3.6795886385962000E-014
  -4.9919999996200204        2.1923888078014472E-007   4.8065686845730510E-014
  -4.9909999995725229        2.4666046702890607E-007   6.0841385994918056E-014
  -4.9899999995250255        2.7408795100078321E-007   7.5124204883807737E-014
  -4.9889999994775280        3.0152198575917939E-007   9.0915507896158787E-014
  -4.9879999994300306        3.2896322397709390E-007   1.0821680272940365E-013
  -4.9869999993825331        3.5641231795267642E-007   1.2702974038839970E-013
  -4.9859999993350357        3.8386991962474686E-007   1.4735611519270962E-013
  -4.9849999992875382        4.1133668058828037E-007   1.6919786479738500E-013
  -4.9839999992400408        4.3881325210985847E-007   1.9255707022723021E-013
  -4.9829999991925433        4.6630028514308622E-007   2.1743595592452351E-013
  -4.9819999991450459        4.9379843034397644E-007   2.4383688981017497E-013
  -4.9809999990975484        5.2130833808630075E-007   2.7176238335830083E-013
  -4.9799999990500510        5.4883065847690769E-007   3.0121509168419609E-013
  -4.9789999990025535        5.7636604137101012E-007   3.3219781364568896E-013
  -4.9779999989550561        6.0391513638743849E-007   3.6471349195785844E-013
  -4.9769999989075586        6.3147859292386600E-007   3.9876521332110564E-013
  -4.9759999988600612        6.5905706017199910E-007   4.3435620856255805E-013
  -4.9749999988125637        6.8665118713274043E-007   4.7148985279080172E-013
  -4.9739999987650663        7.1426162263131981E-007   5.1016966556392590E-013
  -4.9729999987175688        7.4188901533239691E-007   5.5039931107087350E-013
  -4.9719999986700714        7.6953401375513245E-007   5.9218259832608441E-013
  -4.9709999986225739        7.9719726628823218E-007   6.3552348137743054E-013
  -4.9699999985750765        8.2487942120496083E-007   6.8042605952743116E-013
  -4.9689999985275790        8.5258112667812900E-007   7.2689457756774781E-013
  -4.9679999984800816        8.8030303079505111E-007   7.7493342602695268E-013
  -4.9669999984325841        9.0804578157247651E-007   8.2454714143156968E-013
  -4.9659999983850867        9.3581002697149285E-007   8.7574040658038615E-013
  -4.9649999983375892        9.6359641491240302E-007   9.2851805083203591E-013
  -4.9639999982900918        9.9140559328957559E-007   9.8288505040585531E-013
  -4.9629999982425943        1.0192382099862675E-006   1.0388465286960108E-012
  -4.9619999981950969        1.0470949128894257E-006   1.0964077565989140E-012
  -4.9609999981475994        1.0749763499044569E-006   1.1555741528539093E-012
